title,company,location,score
Director of Data Analytics and Business Intelligence CH,Central Health,"Austin, TX, US",0.19479455244828062
Director of Advanced Analytics,,"Warren, NJ, US",0.18662971104048123
Senior Health Informaticist,UHIN,"Salt Lake City, UT, USA",0.18452082532518313
Quant Analytics Solutions Associate,JPMorganChase,"Manila, AR, US",0.18162015552124214
"Lead Product Manager, Data and Analytics",Vibrant Emotional Health,"Remote, US",0.18082465600648276
AVP - Fraud Risk Manager,Barclays,"Henderson, NV, US",0.17861740689163705
"Litigation & Practice Technology, Project Manager",Kirkland & Ellis,"Los Angeles, CA, US",0.17513634031887373
"Senior Director, Analytics New",Unlock Health,"Remote, US",0.17443897288361226
Cons - Tech Cons - AI and Data - End to End - Data Design and Mgmt - Manager - Mult Pos - 1553744,EY,"Los Angeles, CA, US",0.17198004796716754
Systems Analyst,Dutech Systems Inc,"Austin, TX, US",0.17154606206631967
