title,company,location,score
AIT Cust Suppor Desk Analyst I-915,Atlanticare,"Egg Harbor Township, NJ, US",0.5903925
Information Technology Technician - Full Time - Days,Intandem,"Olean, NY, US",0.58925587
PRESCHOOL (AGE 2) THROUGH GRADE 8,LEXINGTON SCHOOL,"Lexington, KY, US",0.5757658
Technical Solutions Specialist,Richtech Robotics,"Las Vegas, NV, US",0.5750116
OPT/CPT IT Consulrant,Intellion Technologies Pvt Ltd,"Remote, US",0.57409143
Technical Solutions Specialist,Richtech Creative Displays,"Las Vegas, NV, US",0.5730489
"Associate Manager, Analytics",Outscal Technologies,"CA, US",0.5715212
2025 Summer Undergraduate Intern/Co-op - IT BI/Data Analyst,"MKS Instruments, Inc.","Irvine, CA, USA",0.5685712
Software Engineer - Mid to Expert Level (Maryland),National Security Agency,"Fort Meade, MD, USA",0.56394476
IT Desktop Technician Supervisor,"Tulare County, CA","Visalia, CA, US",0.5636143
