title,company,location,score
Programmer Analyst,AI Vector,"Provo, UT, US",0.5684594
German NLU,Wipro,"Austin, TX, US",0.5537996
"Analyst, Artifical Intelligence",Walgreens,"Deerfield, IL, US",0.5507697
IT Sr. Data Warehousing Programmer,Health Alliance Plan of Michigan,"Troy, MI, US",0.5441645
IT Sr. Data Warehousing Programmer,Henry Ford Health,"Troy, MI, US",0.5441645
Sr. Collibra Developer,Vminds technologies Inc,"Burbank, CA, US",0.54329526
"Director, Engineering",,"Remote, US",0.5427464
Support Engineer III,Link Computer Corp,"Bellwood, PA, US",0.53722847
"Business Intel Engineer, Santos",Amazon.com,"Seattle, WA, US",0.5354284
Coder/Configurator/Programmer,"QRC Group, LLC","Gurabo, PR, US",0.5342691
